problem_id,domain,num_agents,total_time_ms,total_plan_length,total_nodes_expanded,total_heuristic_calls,total_applicable_actions,total_nodes_generated,total_objects,translator_variables,translator_derived_variables,translator_facts,translator_goal_facts,translator_operators,translator_axioms,translator_task_size,avg_time_per_agent,avg_plan_length_per_agent,avg_nodes_expanded_per_agent,avg_heuristic_calls_per_agent,avg_applicable_actions_per_agent,avg_nodes_generated_per_agent
2bd66d05-1716-4152-b4d6-d5700b332aa5_6a_5l,multi_agent_movement,6,0.178,9,9,9,9,9,6,6,0,41,6,30,0,71,.02966666666666666666,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000
2be8681b-c836-495f-bc72-15298ea027ab_3a_7l,multi_agent_movement,3,0.066,6,6,6,6,6,7,7,0,27,3,18,0,45,.02200000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
2c4d9497-e150-401b-b9ba-d9492ecc3013_7a_11l,multi_agent_movement,7,0.293,14,14,14,14,14,11,11,0,87,7,70,0,157,.04185714285714285714,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
2ef2002f-ff09-47eb-9cec-264b424a17a6_4a_4l,multi_agent_movement,4,0.0802,5,5,5,5,5,4,4,0,19,4,12,0,31,.02005000000000000000,1.25000000000000000000,1.25000000000000000000,1.25000000000000000000,1.25000000000000000000,1.25000000000000000000
33768633-b1f7-4009-b64c-ce44f0b948c0_4a_14l,multi_agent_movement,4,0.1232,8,8,8,8,8,14,14,0,69,4,52,0,121,.03080000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
3450cd2d-bc37-4dd8-b6f5-3ab8df43f974_6a_9l,multi_agent_movement,6,0.2129,12,12,12,12,12,9,9,0,62,6,48,0,110,.03548333333333333333,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
35ee2aa1-5813-48f4-b7c5-ff109e57a8ea_2a_10l,multi_agent_movement,2,0.0429,4,4,4,4,4,10,10,0,29,2,18,0,47,.02145000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
38aa5d6d-872e-4fab-b720-81a36421e15d_2a_9l,multi_agent_movement,2,0.0379,4,4,4,4,4,9,9,0,26,2,16,0,42,.01895000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
39ce0b35-ceda-46f2-bfe8-d1c906d7da5e_6a_7l,multi_agent_movement,6,0.1961,11,11,11,11,11,7,7,0,48,6,36,0,84,.03268333333333333333,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333
3c8cdaca-f2e3-4d38-aea4-4762a8ef51c7_6a_11l,multi_agent_movement,6,0.22659999999999997,12,12,12,12,12,11,11,0,76,6,60,0,136,.03776666666666666166,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
412fc438-ba4e-421b-817b-176494e830e5_5a_9l,multi_agent_movement,5,0.1529,10,10,10,10,10,9,9,0,53,5,40,0,93,.03058000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
41799968-eec6-4415-ba27-ab9ce50a3394_1a_18l,multi_agent_movement,1,0.0188,2,2,2,2,2,18,18,0,35,1,17,0,52,.01880000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
42f49f29-1836-44af-b3d0-7581d42792f7_2a_8l,multi_agent_movement,2,0.0601,4,4,4,4,4,8,8,0,23,2,14,0,37,.03005000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
433c510d-d86b-4790-b18f-1dd909a9a9a7_7a_18l,multi_agent_movement,7,0.3579,14,14,14,14,14,18,18,0,143,7,119,0,262,.05112857142857142857,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
43f39a1a-65ec-4c46-80b2-39d21eab0e20_7a_19l,multi_agent_movement,7,0.4348,14,14,14,14,14,19,19,0,151,7,126,0,277,.06211428571428571428,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
44ade314-b1ee-4bb1-933f-c14100444066_4a_4l,multi_agent_movement,4,0.0822,5,5,5,5,5,4,4,0,19,4,12,0,31,.02055000000000000000,1.25000000000000000000,1.25000000000000000000,1.25000000000000000000,1.25000000000000000000,1.25000000000000000000
45b1e668-82a5-4160-8144-0fc25ff99936_7a_19l,multi_agent_movement,7,0.3648,14,14,14,14,14,19,19,0,151,7,126,0,277,.05211428571428571428,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
4781eb14-e2a6-4594-bbf1-1e32f69d70f3_6a_5l,multi_agent_movement,6,0.2069,9,9,9,9,9,6,6,0,41,6,30,0,71,.03448333333333333333,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000
489b5e68-33f6-4e68-979d-b0050e64590b_5a_4l,multi_agent_movement,5,0.1278,7,7,7,7,7,5,5,0,29,5,20,0,49,.02556000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000
4a24e88e-4a8d-4451-b64b-d5287882cca2_1a_17l,multi_agent_movement,1,0.0181,2,2,2,2,2,17,17,0,33,1,16,0,49,.01810000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
4b5b5508-190e-4d09-81b3-89b7b741a226_3a_3l,multi_agent_movement,3,0.0441,3,3,3,3,3,3,3,0,11,3,6,0,17,.01470000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
4be7f431-8d6b-43ac-b3a2-950c272f6f0c_2a_5l,multi_agent_movement,2,0.038900000000000004,4,4,4,4,4,5,5,0,14,2,8,0,22,.01945000000000000200,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
4c5f4ec8-a2fd-41bd-b2ed-2928a4e60380_5a_5l,multi_agent_movement,5,0.1229,7,7,7,7,7,5,5,0,29,5,20,0,49,.02458000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000
502264df-c141-4f35-a555-456439abb1d3_2a_10l,multi_agent_movement,2,0.038900000000000004,4,4,4,4,4,10,10,0,29,2,18,0,47,.01945000000000000200,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
53535bb1-cf39-49f3-b2f5-9cf9e2b1de89_7a_13l,multi_agent_movement,7,0.3448,14,14,14,14,14,13,13,0,103,7,84,0,187,.04925714285714285714,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
56648d49-0096-41e5-9673-77b07bdb7a3d_1a_6l,multi_agent_movement,1,0.0141,2,2,2,2,2,6,6,0,11,1,5,0,16,.01410000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
57490912-04b8-403f-b22c-7213f1585a12_2a_11l,multi_agent_movement,2,0.039099999999999996,4,4,4,4,4,11,11,0,32,2,20,0,52,.01954999999999999800,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
57af767a-9a97-4992-a4c0-e4930e3f5766_5a_4l,multi_agent_movement,5,0.20480000000000004,7,7,7,7,7,5,5,0,29,5,20,0,49,.04096000000000000800,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000
5ad06bf4-d0c6-4cc6-9b7f-209aa39d7d72_5a_19l,multi_agent_movement,5,0.222,10,10,10,10,10,19,19,0,113,5,90,0,203,.04440000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
5c616299-0803-4a62-ae95-3ee9d800db3a_3a_7l,multi_agent_movement,3,0.0661,6,6,6,6,6,7,7,0,27,3,18,0,45,.02203333333333333333,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
5de1cf70-a214-4a7d-bd1b-f5e4688ea774_7a_4l,multi_agent_movement,7,0.3439,11,11,11,11,11,7,7,0,55,7,42,0,97,.04912857142857142857,1.57142857142857142857,1.57142857142857142857,1.57142857142857142857,1.57142857142857142857,1.57142857142857142857
61285b5d-8f8c-4a79-a165-b52f8f75c9a6_1a_7l,multi_agent_movement,1,0.0169,2,2,2,2,2,7,7,0,13,1,6,0,19,.01690000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
625539dd-6aff-4716-9626-0f126054f123_7a_15l,multi_agent_movement,7,0.34800000000000003,14,14,14,14,14,15,15,0,119,7,98,0,217,.04971428571428571857,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
62b6e32d-a447-4ce8-ba19-9e22cc566e8c_5a_3l,multi_agent_movement,5,0.1206,7,7,7,7,7,5,5,0,29,5,20,0,49,.02412000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000
68bea2f6-7172-453d-8ac9-908bb05d7d57_1a_4l,multi_agent_movement,1,0.0141,2,2,2,2,2,4,4,0,7,1,3,0,10,.01410000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
6a180f51-6125-4f4c-9147-a10b51b56d58_6a_4l,multi_agent_movement,6,0.18800000000000003,9,9,9,9,9,6,6,0,41,6,30,0,71,.03133333333333333833,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000
6a827245-a1cf-4c15-b21a-2f5c4b1c4ce7_1a_10l,multi_agent_movement,1,0.0162,2,2,2,2,2,10,10,0,19,1,9,0,28,.01620000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
6b6c79d9-d7f3-45c2-82ae-404cb082ee2f_7a_11l,multi_agent_movement,7,0.35020000000000007,14,14,14,14,14,11,11,0,87,7,70,0,157,.05002857142857143857,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
6b82af4e-10c8-412f-8ba4-492f6d4d8777_2a_9l,multi_agent_movement,2,0.051000000000000004,4,4,4,4,4,9,9,0,26,2,16,0,42,.02550000000000000200,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
6d795fa5-e61c-499c-8a9a-df99ccfd07c4_5a_17l,multi_agent_movement,5,0.20299999999999999,10,10,10,10,10,17,17,0,101,5,80,0,181,.04059999999999999800,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
6db55638-fa02-4e29-ada5-6aa4fe0e7039_1a_18l,multi_agent_movement,1,0.108,2,2,2,2,2,18,18,0,35,1,17,0,52,.10800000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
6f257710-b2fc-4bce-9808-abd12aab509f_2a_3l,multi_agent_movement,2,0.0322,3,3,3,3,3,3,3,0,8,2,4,0,12,.01610000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000
6f95d3de-1979-4545-94f1-a4985ed8e8d1_4a_12l,multi_agent_movement,4,0.1167,8,8,8,8,8,12,12,0,59,4,44,0,103,.02917500000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
7386bac6-0d85-44f1-8c10-573be417bcf1_3a_13l,multi_agent_movement,3,0.1478,6,6,6,6,6,13,13,0,51,3,36,0,87,.04926666666666666666,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
74172a50-0154-4262-b365-9c4953d78778_7a_11l,multi_agent_movement,7,0.3308,14,14,14,14,14,11,11,0,87,7,70,0,157,.04725714285714285714,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
7a247ac8-4371-4ad0-a328-5d3cebe76547_6a_7l,multi_agent_movement,6,0.1966,11,11,11,11,11,7,7,0,48,6,36,0,84,.03276666666666666666,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333
7aced81b-2b47-461b-b257-e4c6fa769df7_6a_9l,multi_agent_movement,6,0.2341,12,12,12,12,12,9,9,0,62,6,48,0,110,.03901666666666666666,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
7ddca87f-f6d8-4e1d-a7ec-184a31fca0e5_6a_19l,multi_agent_movement,6,0.35,12,12,12,12,12,19,19,0,132,6,108,0,240,.05833333333333333333,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
7e13e752-2a5c-4541-96c6-dbe6a89df8be_2a_11l,multi_agent_movement,2,0.0412,4,4,4,4,4,11,11,0,32,2,20,0,52,.02060000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
80b9cccf-5c1b-49df-9cfc-827a558ce047_6a_9l,multi_agent_movement,6,0.22290000000000001,12,12,12,12,12,9,9,0,62,6,48,0,110,.03715000000000000166,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
82551be2-640f-49b7-ad6c-cc840bbb75af_3a_10l,multi_agent_movement,3,0.0922,6,6,6,6,6,10,10,0,39,3,27,0,66,.03073333333333333333,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
861e3075-8d99-4d77-8a14-d66a4f7d5288_4a_15l,multi_agent_movement,4,0.1352,8,8,8,8,8,15,15,0,74,4,56,0,130,.03380000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
86800588-8390-4f41-a986-74a983e924f9_5a_3l,multi_agent_movement,5,0.24200000000000002,7,7,7,7,7,5,5,0,29,5,20,0,49,.04840000000000000400,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000
87e2300a-8902-4c5d-88b0-dcc73c6b296a_7a_12l,multi_agent_movement,7,0.3272,14,14,14,14,14,12,12,0,95,7,77,0,172,.04674285714285714285,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
888b1704-53c0-4092-80e0-9929044943d1_7a_14l,multi_agent_movement,7,0.3832,14,14,14,14,14,14,14,0,111,7,91,0,202,.05474285714285714285,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
88e4d555-9576-4e4d-b6ba-49b58afdd138_4a_20l,multi_agent_movement,4,0.1662,8,8,8,8,8,20,20,0,99,4,76,0,175,.04155000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
8a204f62-0a4d-4fac-aff9-92b12c9e4f2f_7a_9l,multi_agent_movement,7,0.3448,14,14,14,14,14,9,9,0,71,7,56,0,127,.04925714285714285714,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
8ae20e19-6c6c-4f05-b284-92df2da1010b_4a_18l,multi_agent_movement,4,0.1309,8,8,8,8,8,18,18,0,89,4,68,0,157,.03272500000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
8b064037-3457-47e8-a06a-d8a596a09aa5_6a_9l,multi_agent_movement,6,0.21889999999999998,12,12,12,12,12,9,9,0,62,6,48,0,110,.03648333333333333000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
8bd95285-12bf-46d5-83ee-97da8d5cc0a7_5a_20l,multi_agent_movement,5,0.2092,10,10,10,10,10,20,20,0,119,5,95,0,214,.04184000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
8bfa8f97-b8d6-4da8-8b0e-55fc8ae048da_2a_14l,multi_agent_movement,2,0.0408,4,4,4,4,4,14,14,0,41,2,26,0,67,.02040000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
92bd71fb-471f-49db-a7b7-744bbd9ce70f_6a_3l,multi_agent_movement,6,0.18989999999999999,9,9,9,9,9,6,6,0,41,6,30,0,71,.03164999999999999833,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000
95152e69-d6ba-4373-8f1f-293136e3f894_3a_12l,multi_agent_movement,3,0.0751,6,6,6,6,6,12,12,0,47,3,33,0,80,.02503333333333333333,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
95539964-136c-49c9-aaa1-d8636a6be3b5_3a_12l,multi_agent_movement,3,0.0773,6,6,6,6,6,12,12,0,47,3,33,0,80,.02576666666666666666,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
956550c5-c544-4366-9fd9-945603adfa28_3a_20l,multi_agent_movement,3,0.0938,6,6,6,6,6,20,20,0,79,3,57,0,136,.03126666666666666666,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
96bdb830-aade-4ba1-9a86-04910f39b8bc_3a_9l,multi_agent_movement,3,0.0718,6,6,6,6,6,9,9,0,35,3,24,0,59,.02393333333333333333,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
9c3948eb-2983-401a-ab7c-98345e7a7c30_3a_6l,multi_agent_movement,3,0.0682,6,6,6,6,6,6,6,0,23,3,15,0,38,.02273333333333333333,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
9c42bb5d-c047-4757-b73a-6ecaabce9d64_1a_5l,multi_agent_movement,1,0.0169,2,2,2,2,2,5,5,0,9,1,4,0,13,.01690000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
9f2de57c-4544-4cc5-8401-a6ee54057f28_7a_6l,multi_agent_movement,7,0.24219999999999997,11,11,11,11,11,7,7,0,55,7,42,0,97,.03459999999999999571,1.57142857142857142857,1.57142857142857142857,1.57142857142857142857,1.57142857142857142857,1.57142857142857142857
a093b01f-f146-4455-bf40-ede9694fb1d0_7a_15l,multi_agent_movement,7,0.4095,14,14,14,14,14,15,15,0,119,7,98,0,217,.05850000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
a0ab1002-0dcb-4331-967a-ae50993dbcef_2a_3l,multi_agent_movement,2,0.03,3,3,3,3,3,3,3,0,8,2,4,0,12,.01500000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000,1.50000000000000000000
a1a2dd0d-93e2-4895-928b-db2692707065_5a_4l,multi_agent_movement,5,0.1246,7,7,7,7,7,5,5,0,29,5,20,0,49,.02492000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000,1.40000000000000000000
a25a89e8-865f-4a52-a598-dfce2a6853e1_2a_17l,multi_agent_movement,2,0.0464,4,4,4,4,4,17,17,0,50,2,32,0,82,.02320000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
a85a57c2-978f-4d6f-a03d-9ac31bd35de9_3a_4l,multi_agent_movement,3,0.0579,5,5,5,5,5,4,4,0,15,3,9,0,24,.01930000000000000000,1.66666666666666666666,1.66666666666666666666,1.66666666666666666666,1.66666666666666666666,1.66666666666666666666
a9f44ee2-71bf-41dc-b1a3-3a7016f6c092_1a_6l,multi_agent_movement,1,0.0138,2,2,2,2,2,6,6,0,11,1,5,0,16,.01380000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
aa433ef0-c563-4d45-9051-d0d25aadd847_2a_9l,multi_agent_movement,2,0.0422,4,4,4,4,4,9,9,0,26,2,16,0,42,.02110000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
